N,Beta,Tol,Tau_Quarter,Final_Energy
4,0.5,1e-05,1.6500000000000008,-0.5363133883513425
5,0.5,1e-05,1.7000000000000008,-0.49720572688988307
6,0.5,1e-05,1.7500000000000009,-0.4784892879440654
7,0.5,1e-05,1.7500000000000009,-0.4696956354398713
8,0.5,1e-05,1.7500000000000009,-0.4655997463416059
9,0.5,1e-05,1.7000000000000008,-0.46370090556428356
10,0.5,1e-05,1.7000000000000008,-0.4628182914961453
6,0.5,0.01,1.1000000000000003,-0.4465202296750454
6,0.5,0.001,1.6000000000000008,-0.4743917965667273
6,0.5,0.0001,1.7500000000000009,-0.47811397639347364
6,0.5,1e-05,1.7500000000000009,-0.4784892879440654
6,0.5,1e-06,1.7500000000000009,-0.47852716260806755
6,0.1,1e-05,,-0.09967687613090058
6,0.5,1e-05,1.7500000000000009,-0.4784892879440654
6,1.0,1e-05,9.650000000000002,-0.8502159365504364
6,1.5,1e-05,42.19999999999974,-0.22749444539529837
6,2.0,1e-05,,
6,2.5,1e-05,,
